Day,Visits,,,,,,,
2008-05-25,182,,,,,,,
2008-05-26,195,,,,,,,
2008-05-27,304,,,,,,,
2008-05-28,282,,,,,,,
2008-05-29,263,,,,,,,
2008-05-30,218,,,,,,,
2008-05-31,188,,,,,,,
2008-06-01,195,,,,,,,
2008-06-02,244,,,,,,,
2008-06-03,241,,,,,,,
2008-06-04,252,,,,,,,
2008-06-05,241,,,,,,,
2008-06-06,209,,,,,,,
2008-06-07,198,,,,,,,
2008-06-08,195,,,,,,,
2008-06-09,247,,,,,,,
2008-06-10,231,,,,,,,
2008-06-11,224,,,,,,,
2008-06-12,198,,,,,,,
2008-06-13,180,,,,,,,
2008-06-14,166,,,,,,,
2008-06-15,179,,,,,,,
2008-06-16,218,,,,,,,
2008-06-17,227,,,,,,,
2008-06-18,228,,,,,,,
2008-06-19,228,,,,,,,
2008-06-20,204,,,,,,,
2008-06-21,168,,,,,,,
2008-06-22,178,,,,,,,
2008-06-23,167,,,,,,,
2008-06-24,192,,,,,,,
2008-06-25,199,,,,,,,
2008-06-26,219,,,,,,,
2008-06-27,206,,,,,,,
2008-06-28,178,,,,,,,
2008-06-29,184,,,,,,,
2008-06-30,193,,,,,,,
2008-07-01,204,,,,,,,
2008-07-02,90,,,,,,,
2008-07-03,94,,,,,,,
2008-07-04,60,,,,,,,
2008-07-05,67,,,,,,,
2008-07-06,91,,,,,,,
2008-07-07,140,,,,,,,
2008-07-08,129,,,,,,,
2008-07-09,142,,,,,,,
2008-07-10,129,,,,,,,
2008-07-11,110,,,,,,,
2008-07-12,56,,,,,,,
2008-07-13,68,,,,,,,
2008-07-14,127,,,,,,,
2008-07-15,116,,,,,,,
2008-07-16,127,,,,,,,
2008-07-17,114,,,,,,,
2008-07-18,125,,,,,,,
2008-07-19,67,,,,,,,
2008-07-20,91,,,,,,,
2008-07-21,139,,,,,,,
2008-07-22,232,,,,,,,
2008-07-23,165,,,,,,,
2008-07-24,185,,,,,,,
2008-07-25,148,,,,,,,
2008-07-26,84,,,,,,,
2008-07-27,74,,,,,,,
2008-07-28,163,,,,,,,
2008-07-29,159,,,,,,,
2008-07-30,178,,,,,,,
2008-07-31,126,,,,,,,
2008-08-01,111,,,,,,,
2008-08-02,95,,,,,,,
2008-08-03,85,,,,,,,
2008-08-04,150,,,,,,,
2008-08-05,149,,,,,,,
2008-08-06,139,,,,,,,
2008-08-07,111,,,,,,,
2008-08-08,124,,,,,,,
2008-08-09,91,,,,,,,
2008-08-10,77,,,,,,,
2008-08-11,122,,,,,,,
2008-08-12,115,,,,,,,
2008-08-13,125,,,,,,,
2008-08-14,110,,,,,,,
2008-08-15,112,,,,,,,
2008-08-16,76,,,,,,,
2008-08-17,74,,,,,,,
2008-08-18,107,,,,,,,
2008-08-19,134,,,,,,,
2008-08-20,115,,,,,,,
2008-08-21,122,,,,,,,
2008-08-22,108,,,,,,,
2008-08-23,74,,,,,,,
2008-08-24,73,,,,,,,
2008-08-25,111,,,,,,,
2008-08-26,103,,,,,,,
2008-08-27,98,,,,,,,
2008-08-28,97,,,,,,,
2008-08-29,77,,,,,,,
2008-08-30,67,,,,,,,
2008-08-31,64,,,,,,,
2008-09-01,59,,,,,,,
2008-09-02,91,,,,,,,
2008-09-03,108,,,,,,,
2008-09-04,107,,,,,,,
2008-09-05,83,,,,,,,
2008-09-06,65,,,,,,,
2008-09-07,59,,,,,,,
2008-09-08,85,,,,,,,
2008-09-09,91,,,,,,,
2008-09-10,102,,,,,,,
2008-09-11,95,,,,,,,
2008-09-12,81,,,,,,,
2008-09-13,49,,,,,,,
2008-09-14,57,,,,,,,
2008-09-15,95,,,,,,,
2008-09-16,98,,,,,,,
2008-09-17,105,,,,,,,
2008-09-18,81,,,,,,,
2008-09-19,77,,,,,,,
2008-09-20,50,,,,,,,
2008-09-21,52,,,,,,,
2008-09-22,84,,,,,,,
2008-09-23,137,,,,,,,
2008-09-24,122,,,,,,,
2008-09-25,103,,,,,,,
2008-09-26,98,,,,,,,
2008-09-27,56,,,,,,,
2008-09-28,59,,,,,,,
2008-09-29,94,,,,,,,
2008-09-30,111,,,,,,,
2008-10-01,98,,,,,,,
2008-10-02,105,,,,,,,
2008-10-03,86,,,,,,,
2008-10-04,58,,,,,,,
2008-10-05,51,,,,,,,
2008-10-06,91,,,,,,,
2008-10-07,87,,,,,,,
2008-10-08,84,,,,,,,
2008-10-09,99,,,,,,,
2008-10-10,96,,,,,,,
2008-10-11,53,,,,,,,
2008-10-12,51,,,,,,,
2008-10-13,88,,,,,,,
2008-10-14,81,,,,,,,
2008-10-15,101,,,,,,,
2008-10-16,88,,,,,,,
2008-10-17,103,,,,,,,
2008-10-18,46,,,,,,,
2008-10-19,59,,,,,,,
2008-10-20,86,,,,,,,
2008-10-21,92,,,,,,,
2008-10-22,101,,,,,,,
2008-10-23,94,,,,,,,
2008-10-24,85,,,,,,,
2008-10-25,53,,,,,,,
2008-10-26,47,,,,,,,
2008-10-27,91,,,,,,,
2008-10-28,99,,,,,,,
2008-10-29,95,,,,,,,
2008-10-30,89,,,,,,,
2008-10-31,83,,,,,,,
2008-11-01,47,,,,,,,
2008-11-02,39,,,,,,,
2008-11-03,84,,,,,,,
2008-11-04,90,,,,,,,
2008-11-05,94,,,,,,,
2008-11-06,93,,,,,,,
2008-11-07,86,,,,,,,
2008-11-08,51,,,,,,,
2008-11-09,48,,,,,,,
2008-11-10,84,,,,,,,
2008-11-11,91,,,,,,,
2008-11-12,103,,,,,,,
2008-11-13,96,,,,,,,
2008-11-14,74,,,,,,,
2008-11-15,47,,,,,,,
2008-11-16,52,,,,,,,
2008-11-17,94,,,,,,,
2008-11-18,91,,,,,,,
2008-11-19,116,,,,,,,
2008-11-20,74,,,,,,,
2008-11-21,80,,,,,,,
2008-11-22,51,,,,,,,
2008-11-23,58,,,,,,,
2008-11-24,75,,,,,,,
2008-11-25,131,,,,,,,
2008-11-26,106,,,,,,,
2008-11-27,56,,,,,,,
2008-11-28,57,,,,,,,
2008-11-29,53,,,,,,,
2008-11-30,58,,,,,,,
2008-12-01,78,,,,,,,
2008-12-02,102,,,,,,,
2008-12-03,93,,,,,,,
2008-12-04,82,,,,,,,
2008-12-05,83,,,,,,,
2008-12-06,53,,,,,,,
2008-12-07,52,,,,,,,
2008-12-08,96,,,,,,,
2008-12-09,85,,,,,,,
2008-12-10,86,,,,,,,
2008-12-11,98,,,,,,,
2008-12-12,84,,,,,,,
2008-12-13,44,,,,,,,
2008-12-14,58,,,,,,,
2008-12-15,81,,,,,,,
2008-12-16,117,,,,,,,
2008-12-17,81,,,,,,,
2008-12-18,111,,,,,,,
2008-12-19,81,,,,,,,
2008-12-20,62,,,,,,,
2008-12-21,49,,,,,,,
2008-12-22,70,,,,,,,
2008-12-23,67,,,,,,,
2008-12-24,57,,,,,,,
2008-12-25,53,,,,,,,
2008-12-26,41,,,,,,,
2008-12-27,46,,,,,,,
2008-12-28,53,,,,,,,
2008-12-29,74,,,,,,,
2008-12-30,55,,,,,,,
2008-12-31,53,,,,,,,
2009-01-01,53,,,,,,,
2009-01-02,49,,,,,,,
2009-01-03,65,,,,,,,
2009-01-04,50,,,,,,,
2009-01-05,85,,,,,,,
2009-01-06,84,,,,,,,
2009-01-07,87,,,,,,,
2009-01-08,105,,,,,,,
2009-01-09,84,,,,,,,
2009-01-10,52,,,,,,,
2009-01-11,37,,,,,,,
2009-01-12,96,,,,,,,
2009-01-13,97,,,,,,,
2009-01-14,92,,,,,,,
2009-01-15,122,,,,,,,
2009-01-16,106,,,,,,,
2009-01-17,81,,,,,,,
2009-01-18,67,,,,,,,
2009-01-19,113,,,,,,,
2009-01-20,108,,,,,,,
2009-01-21,132,,,,,,,
2009-01-22,135,,,,,,,
2009-01-23,116,,,,,,,
2009-01-24,124,,,,,,,
2009-01-25,80,,,,,,,
2009-01-26,141,,,,,,,
2009-01-27,165,,,,,,,
2009-01-28,165,,,,,,,
2009-01-29,175,,,,,,,
2009-01-30,135,,,,,,,
2009-01-31,139,,,,,,,
2009-02-01,145,,,,,,,
2009-02-02,144,,,,,,,
2009-02-03,186,,,,,,,
2009-02-04,145,,,,,,,
2009-02-05,173,,,,,,,
2009-02-06,177,,,,,,,
2009-02-07,237,,,,,,,
2009-02-08,262,,,,,,,
2009-02-09,319,,,,,,,
2009-02-10,309,,,,,,,
2009-02-11,330,,,,,,,
2009-02-12,329,,,,,,,
2009-02-13,361,,,,,,,
2009-02-14,407,,,,,,,
2009-02-15,392,,,,,,,
2009-02-16,277,,,,,,,
2009-02-17,276,,,,,,,
2009-02-18,288,,,,,,,
2009-02-19,216,,,,,,,
2009-02-20,247,,,,,,,
2009-02-21,317,,,,,,,
2009-02-22,240,,,,,,,
2009-02-23,307,,,,,,,
2009-02-24,428,,,,,,,
2009-02-25,248,,,,,,,
2009-02-26,357,,,,,,,
2009-02-27,375,,,,,,,
2009-02-28,369,,,,,,,
2009-03-01,538,,,,,,,
2009-03-02,545,,,,,,,
2009-03-03,448,,,,,,,
2009-03-04,546,,,,,,,
2009-03-05,624,,,,,,,
2009-03-06,518,,,,,,,
2009-03-07,507,,,,,,,
2009-03-08,315,,,,,,,
2009-03-09,664,,,,,,,
2009-03-10,478,,,,,,,
2009-03-11,189,,,,,,,
2009-03-12,238,,,,,,,
2009-03-13,209,,,,,,,
2009-03-14,470,,,,,,,
2009-03-15,476,,,,,,,
2009-03-16,541,,,,,,,
2009-03-17,436,,,,,,,
2009-03-18,485,,,,,,,
2009-03-19,518,,,,,,,
2009-03-20,419,,,,,,,
2009-03-21,131,,,,,,,
2009-03-22,213,,,,,,,
2009-03-23,308,,,,,,,
2009-03-24,234,,,,,,,
2009-03-25,224,,,,,,,
2009-03-26,232,,,,,,,
2009-03-27,221,,,,,,,
2009-03-28,231,,,,,,,
2009-03-29,220,,,,,,,
2009-03-30,251,,,,,,,
2009-03-31,267,,,,,,,
2009-04-01,169,,,,,,,
2009-04-02,253,,,,,,,
2009-04-03,285,,,,,,,
2009-04-04,334,,,,,,,
2009-04-05,132,,,,,,,
2009-04-06,170,,,,,,,
2009-04-07,185,,,,,,,
2009-04-08,178,,,,,,,
2009-04-09,157,,,,,,,
2009-04-10,147,,,,,,,
2009-04-11,117,,,,,,,
2009-04-12,120,,,,,,,
2009-04-13,186,,,,,,,
2009-04-14,175,,,,,,,
2009-04-15,176,,,,,,,
2009-04-16,203,,,,,,,
2009-04-17,186,,,,,,,
2009-04-18,185,,,,,,,
2009-04-19,108,,,,,,,
2009-04-20,159,,,,,,,
2009-04-21,184,,,,,,,
2009-04-22,166,,,,,,,
2009-04-23,159,,,,,,,
2009-04-24,293,,,,,,,
2009-04-25,179,,,,,,,
2009-04-26,242,,,,,,,
2009-04-27,192,,,,,,,
2009-04-28,242,,,,,,,
2009-04-29,241,,,,,,,
2009-04-30,271,,,,,,,
2009-05-01,283,,,,,,,
2009-05-02,203,,,,,,,
2009-05-03,218,,,,,,,
2009-05-04,248,,,,,,,
2009-05-05,216,,,,,,,
2009-05-06,204,,,,,,,
2009-05-07,233,,,,,,,
2009-05-08,222,,,,,,,
2009-05-09,173,,,,,,,
2009-05-10,186,,,,,,,
2009-05-11,200,,,,,,,
2009-05-12,184,,,,,,,
2009-05-13,176,,,,,,,
2009-05-14,205,,,,,,,
2009-05-15,197,,,,,,,
2009-05-16,154,,,,,,,
2009-05-17,176,,,,,,,
2009-05-18,199,,,,,,,
2009-05-19,166,,,,,,,
2009-05-20,176,,,,,,,
2009-05-21,162,,,,,,,
2009-05-22,175,,,,,,,
2009-05-23,137,,,,,,,
2009-05-24,137,,,,,,,
2009-05-25,139,,,,,,,
2009-05-26,161,,,,,,,
2009-05-27,158,,,,,,,
2009-05-28,129,,,,,,,
2009-05-29,137,,,,,,,
2009-05-30,96,,,,,,,
2009-05-31,112,,,,,,,
2009-06-01,144,,,,,,,
2009-06-02,148,,,,,,,
2009-06-03,148,,,,,,,
2009-06-04,145,,,,,,,
2009-06-05,159,,,,,,,
2009-06-06,107,,,,,,,
2009-06-07,107,,,,,,,
2009-06-08,144,,,,,,,
2009-06-09,132,,,,,,,
2009-06-10,138,,,,,,,
2009-06-11,135,,,,,,,
2009-06-12,130,,,,,,,
2009-06-13,96,,,,,,,
2009-06-14,118,,,,,,,
2009-06-15,145,,,,,,,
2009-06-16,146,,,,,,,
2009-06-17,139,,,,,,,
2009-06-18,150,,,,,,,
2009-06-19,143,,,,,,,
2009-06-20,101,,,,,,,
2009-06-21,89,,,,,,,
2009-06-22,134,,,,,,,
2009-06-23,131,,,,,,,
2009-06-24,132,,,,,,,
2009-06-25,139,,,,,,,
2009-06-26,116,,,,,,,
2009-06-27,94,,,,,,,
2009-06-28,96,,,,,,,
2009-06-29,134,,,,,,,
2009-06-30,135,,,,,,,
2009-07-01,121,,,,,,,
2009-07-02,128,,,,,,,
2009-07-03,100,,,,,,,
2009-07-04,88,,,,,,,
2009-07-05,105,,,,,,,
2009-07-06,149,,,,,,,
2009-07-07,121,,,,,,,
2009-07-08,119,,,,,,,
2009-07-09,118,,,,,,,
2009-07-10,115,,,,,,,
2009-07-11,79,,,,,,,
2009-07-12,122,,,,,,,
2009-07-13,150,,,,,,,
2009-07-14,140,,,,,,,
2009-07-15,128,,,,,,,
2009-07-16,146,,,,,,,
2009-07-17,120,,,,,,,
2009-07-18,94,,,,,,,
2009-07-19,100,,,,,,,
2009-07-20,136,,,,,,,
2009-07-21,156,,,,,,,
2009-07-22,142,,,,,,,
2009-07-23,107,,,,,,,
2009-07-24,122,,,,,,,
2009-07-25,97,,,,,,,
2009-07-26,88,,,,,,,
2009-07-27,119,,,,,,,
2009-07-28,193,,,,,,,
2009-07-29,150,,,,,,,
2009-07-30,139,,,,,,,
2009-07-31,141,,,,,,,
2009-08-01,94,,,,,,,
2009-08-02,86,,,,,,,
2009-08-03,143,,,,,,,
2009-08-04,111,,,,,,,
2009-08-05,147,,,,,,,
2009-08-06,128,,,,,,,
2009-08-07,108,,,,,,,
2009-08-08,69,,,,,,,
2009-08-09,84,,,,,,,
2009-08-10,141,,,,,,,
2009-08-11,126,,,,,,,
2009-08-12,120,,,,,,,
2009-08-13,113,,,,,,,
2009-08-14,106,,,,,,,
2009-08-15,91,,,,,,,
2009-08-16,95,,,,,,,
2009-08-17,109,,,,,,,
2009-08-18,122,,,,,,,
2009-08-19,151,,,,,,,
2009-08-20,138,,,,,,,
2009-08-21,101,,,,,,,
2009-08-22,60,,,,,,,
2009-08-23,80,,,,,,,
2009-08-24,137,,,,,,,
2009-08-25,147,,,,,,,
2009-08-26,132,,,,,,,
2009-08-27,101,,,,,,,
2009-08-28,112,,,,,,,
2009-08-29,63,,,,,,,
